res,mode,budget,count,avg,std,ts,status,count,Real distance,,,,,,,,
1x1,SHORT,18500,50,1005.14,2.163423213,0.025,0,50,1000,25,,Kiválaszto,,,,,Megállapítá
2x2,SHORT,18500,50,1006.835,6.95972521,0.102,0,200,1000,102,,1x1,SHORT,18500,,,Sampling time grows by the number of ranges in scan evenly. Compared to 1x1 ts
3x3,SHORT,18500,50,1005.468889,14.20313459,0.157,0,300,1000,157,,,,,,,Distance preset doesn't affect the sampling time
4x4,SHORT,18500,50,997.73625,18.05683211,0.282,2,799,1000,282,,,,,,,
1x1,SHORT,33000,50,1006.62,1.074988372,0.0244,0,50,1000,24.4,,,,,,,
2x2,SHORT,33000,50,1008.84,5.969455587,0.09375,0,200,1000,93.75,,,,,,,
3x3,SHORT,33000,50,1010.775556,15.23361277,0.21095,0,300,1000,210.95,,,,,,,
4x4,SHORT,33000,50,1007.1125,19.2441509,0.375,2,799,1000,375,,,,,,,
1x1,MEDIUM,33000,50,1003.26,1.874139803,0.0315,0,50,1000,31.5,,,,,,,
2x2,MEDIUM,33000,50,1007.155,6.379731577,0.09765,0,200,1000,97.65,,,,,,,
3x3,MEDIUM,33000,50,1016.76,22.11455428,0.218,0,301,1000,218,,,,,,,
4x4,MEDIUM,33000,50,1027.65875,28.28851001,0.3875,2,799,1000,387.5,,,,,,,
1x1,LONG,33000,50,991.24,2.112439348,0.03175,0,50,1000,31.75,,,,,,,
2x2,LONG,33000,50,1010.475,8.462823111,0.099,0,160,1000,99,,,,,,,
3x3,LONG,33000,50,1074.128889,72.60505836,0.22,7,294,1000,220,,,,,,,
4x4,LONG,33000,50,1187.37,112.8564712,0.39125,2,795,1000,391.25,,,,,,,
1x1,MEDIUM,140000,50,2481.28,3.218943926,0.0975,0,50,2500,97.5,,,,,,,
2x2,MEDIUM,140000,50,2464.625,19.62968097,0.3086,2,199,2500,308.6,,,,,,,
3x3,MEDIUM,140000,50,2440.771111,29.5385031,0.6984,2,449,2500,698.4,,,,,,,
4x4,MEDIUM,140000,50,2431.4225,39.33924877,1.23845,2,799,2500,1238.45,,,,,,,
1x1,LONG,140000,50,2480.46,3.85854895,0.1125,0,50,2500,112.5,,,,,,,
2x2,LONG,140000,50,2481.575,21.21401365,0.31285,2,199,2500,312.85,,,,,,,
3x3,LONG,140000,50,2486.626667,34.3965528,0.707,2,449,2500,707,,,,,,,
4x4,LONG,140000,50,2488.96125,38.29937661,1.2497,2,799,2500,1249.7,,,,,,,
1x1,MEDIUM,140000,50,3008.34,6.62,0.135,4,50,3000,135,,,,,,,
2x2,MEDIUM,140000,50,2958.675,23.63597629,0.316,4,122,3000,316,,,,,,,
3x3,MEDIUM,140000,50,2858.731111,75.24166199,0.7066,2,437,3000,706.6,,,,,,,
4x4,MEDIUM,140000,50,2722.785,163.3713677,1.253,2,799,3000,1253,,,,,,,
1x1,LONG,140000,50,3017.86,6.128654012,0.133,0,50,3000,133,,,,,,,
2x2,LONG,140000,50,3008.075,29.66933392,0.316,2,199,3000,316,,,,,,,
3x3,LONG,140000,50,2992.086667,38.90500168,0.7066,2,449,3000,706.6,,,,,,,
4x4,LONG,140000,50,2959.945,61.73525715,1.253,2,799,3000,1253,,,,,,,
1x1,LONG,140000,50,3504.74,11.77422609,0.132,2,42,3500,132,,,,,,,
2x2,LONG,140000,50,3454.09,33.00351345,0.319,2,200,3500,319,,,,,,,
3x3,LONG,140000,50,3363.04,120.1365083,0.707,2,450,3500,707,,,,,,,
4x4,LONG,140000,50,3235.58375,194.7170652,1.253,2,800,3500,1253,,,,,,,
1x1,LONG,200000,50,3504.54,20.85493707,0.131,2,39,3500,131,,,,,,,
2x2,LONG,200000,50,3461.31,66.56593648,0.316,2,200,3500,316,,,,,,,
3x3,LONG,200000,50,3414.631111,62.45394329,0.706,2,450,3500,706,,,,,,,
4x4,LONG,200000,50,3323.94125,146.089477,1.25,2,800,3500,1250,,,,,,,
